SAMPLE,Condition,Genotype,Replicate,FilenameBase
Del_Azole_1,Azole,del182,1,LCS9552_Azole_182_1_Clean_Data
Del_Azole_2,Azole,del182,2,LCS9552_Azole_182_2_Clean_Data
Del_Azole_3,Azole,del182,3,LCS9552_Azole_182_3_Clean_Data
WT_Azole_1,Azole,WT,1,LCS9552_CEA10_Azole_1_Clean_Data
WT_Azole_2,Azole,WT,2,LCS9552_CEA10_Azole_2_Clean_Data
WT_Azole_3,Azole,WT,3,LCS9552_CEA10_Azole_3_Clean_Data
WT_GMM_1,GMM,WT,1,LCS9552_CEA10_GMM_1_Clean_Data
WT_GMM_2,GMM,WT,2,LCS9552_CEA10_GMM_2_Clean_Data
WT_GMM_3,GMM,WT,3,LCS9552_CEA10_GMM_3_Clean_Data
Comp_Azole_1,Azole,Comp,1,LCS9552_Comp_Azole_1_Clean_Data
Comp_Azole_2,Azole,Comp,2,LCS9552_Comp_Azole_2_Clean_Data
Comp_Azole_3,Azole,Comp,3,LCS9552_Comp_Azole_3_Clean_Data
Comp_GMM_1,GMM,Comp,1,LCS9552_Comp_GMM_1_Clean_Data
Comp_GMM_2,GMM,Comp,2,LCS9552_Comp_GMM_2_Clean_Data
Comp_GMM_3,GMM,Comp,3,LCS9552_Comp_GMM_3_Clean_Data
Del_GMM_1,GMM,del182,1,LCS9552_GMM_182_1_Clean_Data
Del_GMM_2,GMM,del182,2,LCS9552_GMM_182_2_Clean_Data
Del_GMM_3,GMM,del182,3,LCS9552_GMM_182_3_Clean_Data
OE_Azole_1,Azole,OE,1,LCS9552_OE_182_Azole_1_Clean_Data
OE_Azole_2,Azole,OE,2,LCS9552_OE_182_Azole_2_Clean_Data
OE_Azole_3,Azole,OE,3,LCS9552_OE_182_Azole_3_Clean_Data
OE_GMM_1,GMM,OE,1,LCS9552_OE_182_GMM_1_Clean_Data
OE_GMM_2,GMM,OE,2,LCS9552_OE_182_GMM_2_Clean_Data
OE_GMM_3,GMM,OE,3,LCS9552_OE_182_GMM_3_Clean_Data
